0.09,0.06,0.19,0.21,0.11,0.26,0.19,0.16,0.19
0.06,0.04,0.24,0.24,0.11,0.31,0.16,0.14,0.11
0.11,0.06,0.14,0.16,0.14,0.09,0.14,0.09,0.26
0.06,0.06,0.09,0.11,0.09,0.09,0.19,0.11,0.14
0.09,0.06,0.09,0.34,0.24,0.19,0.09,0.19,0.19
0.14,0.04,0.19,0.11,0.21,0.39,0.19,0.19,0.09
0.11,0.11,0.14,0.19,0.44,0.44,0.36,0.44,0.24
0.31,0.41,0.96,0.64,0.94,0.64,0.81,0.84,0.21
0.29,0.41,0.99,0.76,1.06,0.71,1.04,1.04,0.34
0.61,0.36,0.91,0.76,1.04,0.74,1.04,0.99,0.21
0.06,0.06,0.11,0.21,0.11,0.16,0.16,0.21,0.19
0.44,0.16,0.39,0.56,0.76,0.39,0.46,0.39,0.26
0.84,0.64,1.64,1.41,1.59,0.84,1.46,1.51,0.31
0.94,0.66,2.09,1.34,1.49,0.91,1.61,1.66,0.26
1.11,0.56,1.99,1.69,1.74,1.06,1.64,1.72,0.36
0.09,0.04,0.06,0.19,0.16,0.19,0.16,0.11,0.26
0.41,0.06,0.41,0.59,1.21,0.64,0.74,0.51,1.04
2.74,2.44,2.67,1.89,2.32,1.56,1.74,1.41,1.87
2.87,4.07,3.24,2.34,2.39,1.97,2.34,1.97,2.09
2.89,5.00,3.27,2.32,2.79,1.97,2.49,1.89,2.14
